Source,from_loc,from_geoid,from_date_1,Target,to_loc,to_geoid,to_date_1,date_gap
NODE_0001814,East Baton Rouge Parish,22033,2020-03-08,NODE_0001818,East Baton Rouge Parish,22033,2020-03-09,1
NODE_0001818,East Baton Rouge Parish,22033,2020-03-09,NODE_0001945,East Baton Rouge Parish,22033,2020-04-04,26
NODE_0001945,East Baton Rouge Parish,22033,2020-04-04,hCoV-19/USA/LA-GBCL-26544504/2020,East Baton Rouge Parish,22033,2020-04-27,23
NODE_0001945,East Baton Rouge Parish,22033,2020-04-04,NODE_0001820,East Baton Rouge Parish,22033,2020-04-20,16
NODE_0001820,East Baton Rouge Parish,22033,2020-04-20,hCoV-19/USA/LA-GBCL-26492503/2020,East Baton Rouge Parish,22033,2020-04-24,4
NODE_0001820,East Baton Rouge Parish,22033,2020-04-20,hCoV-19/USA/LA-GBCL-26513008/2020,East Baton Rouge Parish,22033,2020-04-23,3
NODE_0001818,East Baton Rouge Parish,22033,2020-03-09,NODE_0001821,East Baton Rouge Parish,22033,2020-03-10,1
NODE_0001821,East Baton Rouge Parish,22033,2020-03-10,NODE_0001824,East Baton Rouge Parish,22033,2020-03-11,1
NODE_0001824,East Baton Rouge Parish,22033,2020-03-11,NODE_0001826,East Baton Rouge Parish,22033,2020-03-13,2
NODE_0001826,East Baton Rouge Parish,22033,2020-03-13,hCoV-19/USA/LA-GBCL-26544521/2020,East Baton Rouge Parish,22033,2020-04-20,38
NODE_0001826,East Baton Rouge Parish,22033,2020-03-13,NODE_0001827,East Baton Rouge Parish,22033,2020-03-15,2
NODE_0001827,East Baton Rouge Parish,22033,2020-03-15,NODE_0001828,East Baton Rouge Parish,22033,2020-03-15,0
NODE_0001828,East Baton Rouge Parish,22033,2020-03-15,hCoV-19/USA/LA-GBCL-26492434/2020,East Baton Rouge Parish,22033,2020-04-28,44
NODE_0001831,East Baton Rouge Parish,22033,2020-03-16,NODE_0001832,East Baton Rouge Parish,22033,2020-03-25,9
NODE_0001832,East Baton Rouge Parish,22033,2020-03-25,NODE_0001834,East Baton Rouge Parish,22033,2020-03-30,5
NODE_0001834,East Baton Rouge Parish,22033,2020-03-30,hCoV-19/USA/LA-GBCL-26544563/2020,East Baton Rouge Parish,22033,2020-04-18,19
NODE_0001834,East Baton Rouge Parish,22033,2020-03-30,NODE_0001835,East Baton Rouge Parish,22033,2020-04-01,2
NODE_0001835,East Baton Rouge Parish,22033,2020-04-01,hCoV-19/USA/LA-GBCL-26684453/2020,East Baton Rouge Parish,22033,2020-04-11,10
NODE_0001831,East Baton Rouge Parish,22033,2020-03-16,NODE_0001836,East Baton Rouge Parish,22033,2020-03-24,8
NODE_0001836,East Baton Rouge Parish,22033,2020-03-24,hCoV-19/USA/LA-GBCL-26629227/2020,East Baton Rouge Parish,22033,2020-04-23,30
NODE_0001836,East Baton Rouge Parish,22033,2020-03-24,NODE_0001841,East Baton Rouge Parish,22033,2020-03-29,5
NODE_0001841,East Baton Rouge Parish,22033,2020-03-29,hCoV-19/USA/LA-GBCL-26513022/2020,East Baton Rouge Parish,22033,2020-04-23,25
NODE_0001841,East Baton Rouge Parish,22033,2020-03-29,NODE_0001842,East Baton Rouge Parish,22033,2020-04-01,3
NODE_0001842,East Baton Rouge Parish,22033,2020-04-01,hCoV-19/USA/LA-GBCL-26513063/2020,East Baton Rouge Parish,22033,2020-04-21,20
NODE_0001804,Caddo Parish,22017,2020-03-15,NODE_0001805,Caddo Parish,22017,2020-03-22,7
NODE_0001805,Caddo Parish,22017,2020-03-22,hCoV-19/USA/LA-EVTL145/2020,Caddo Parish,22017,2020-03-25,3
